Behaviour,Actor,Receiver,T_start,T_stop
T,0x0002,0x001B,2020-02-11T12:07:36.170102Z,2020-02-11T12:08:10.420280Z
W,0x0002,,2020-02-11T12:08:15.295306Z,2020-02-11T12:08:24.545314Z
AC,0x0002,0x001C,2020-02-11T12:09:08.295634Z,2020-02-11T12:09:08.795580Z
SG,0x0002,,2020-02-11T12:09:15.045606Z,2020-02-11T12:09:21.420658Z
SG,0x0002,,2020-02-11T12:09:26.420751Z,2020-02-11T12:09:32.295779Z
AC,0x0002,0x0014,2020-02-11T12:09:34.545719Z,2020-02-11T12:09:35.420719Z
SG,0x0002,,2020-02-11T12:09:40.545742Z,2020-02-11T12:09:44.670848Z
SG,0x0002,,2020-02-11T12:09:48.795794Z,2020-02-11T12:09:57.545848Z
SG,0x0002,,2020-02-11T12:10:02.795937Z,2020-02-11T12:10:17.545947Z
SG,0x0002,,2020-02-11T12:10:31.171084Z,2020-02-11T12:10:45.046152Z
W,0x0002,,2020-02-11T12:11:05.421267Z,2020-02-11T12:11:12.046245Z
AC,0x0002,0x001B,2020-02-11T12:11:12.296316Z,2020-02-11T12:11:14.546263Z
AC,0x0002,0x002C,2020-02-11T12:11:30.296352Z,2020-02-11T12:11:31.296346Z
W,0x0002,,2020-02-11T12:11:50.296448Z,2020-02-11T12:11:55.671457Z
SG,0x0002,,2020-02-11T12:13:39.547086Z,2020-02-11T12:13:42.422117Z
W,0x0002,,2020-02-11T12:13:45.297063Z,2020-02-11T12:13:48.672090Z
W,0x0002,,2020-02-11T12:13:55.297120Z,2020-02-11T12:14:00.172119Z
R,0x0002,,2020-02-11T12:14:13.797291Z,2020-02-11T12:14:22.172255Z
AC,0x0002,0x0011,2020-02-11T12:14:27.797309Z,2020-02-11T12:14:28.172315Z
R,0x0002,,2020-02-11T12:14:36.297342Z,2020-02-11T12:14:56.922522Z
AC,0x0002,0x002F,2020-02-11T12:15:05.547555Z,2020-02-11T12:15:06.297501Z
W,0x0002,,2020-02-11T12:15:10.797884Z,2020-02-11T12:15:25.672614Z
T,0x0002,0x001E,2020-02-11T12:15:26.172586Z,2020-02-11T12:16:09.422874Z
W,0x0002,,2020-02-11T12:16:18.797948Z,2020-02-11T12:16:25.672992Z
W,0x0002,,2020-02-11T12:17:16.048175Z,2020-02-11T12:17:37.673321Z
SG,0x0002,,2020-02-11T12:18:04.673531Z,2020-02-11T12:18:10.798565Z
W,0x0002,,2020-02-11T12:18:11.423522Z,2020-02-11T12:18:12.173575Z
AC,0x0002,0x0025,2020-02-11T12:18:23.048573Z,2020-02-11T12:18:24.173645Z
T,0x0002,0x0022,2020-02-11T12:18:56.173817Z,2020-02-11T12:21:58.049701Z
SG,0x0002,,2020-02-11T12:22:24.799876Z,2020-02-11T12:22:50.425075Z
SG,0x0002,,2020-02-11T12:23:08.675195Z,2020-02-11T12:23:14.800209Z
AC,0x0003,0x0006,2020-02-11T11:54:24.915928Z,2020-02-11T11:54:26.915933Z
R,0x0003,,2020-02-11T11:55:41.916339Z,2020-02-11T11:55:45.291358Z
T,0x0003,0x003D,2020-02-11T11:55:48.666315Z,2020-02-11T11:56:17.916549Z
W,0x0003,,2020-02-11T12:02:03.793398Z,2020-02-11T12:02:06.793359Z
R,0x0003,,2020-02-11T12:02:29.793527Z,2020-02-11T12:03:27.418768Z
R,0x0003,,2020-02-11T12:03:34.293862Z,2020-02-11T12:03:56.918962Z
SG,0x0003,,2020-02-11T12:04:59.544246Z,2020-02-11T12:05:06.419357Z
AC,0x0003,0x0042,2020-02-11T12:05:38.794536Z,2020-02-11T12:05:40.044493Z
SG,0x0003,,2020-02-11T12:06:00.669636Z,2020-02-11T12:06:11.419631Z
SG,0x0003,,2020-02-11T12:06:19.794749Z,2020-02-11T12:06:26.794724Z
W,0x0003,,2020-02-11T12:07:24.545033Z,2020-02-11T12:07:25.795088Z
AC,0x0003,0x001C,2020-02-11T12:07:26.045081Z,2020-02-11T12:07:27.420026Z
R,0x0003,,2020-02-11T12:07:50.420220Z,2020-02-11T12:08:26.920416Z
W,0x0003,,2020-02-11T12:11:16.296269Z,2020-02-11T12:11:18.921347Z
SG,0x0003,,2020-02-11T12:12:04.921594Z,2020-02-11T12:12:10.671621Z
R,0x0003,,2020-02-11T12:12:57.171874Z,2020-02-11T12:13:11.171944Z
R,0x0003,,2020-02-11T12:13:48.922159Z,2020-02-11T12:14:23.047322Z
SG,0x0003,,2020-02-11T12:14:38.922427Z,2020-02-11T12:14:48.172411Z
AC,0x0003,0x0009,2020-02-11T12:16:07.547896Z,2020-02-11T12:16:10.047906Z
SG,0x0003,,2020-02-11T12:17:26.673331Z,2020-02-11T12:17:28.673327Z
SG,0x0003,,2020-02-11T12:18:05.923498Z,2020-02-11T12:18:23.673642Z
W,0x0003,,2020-02-11T12:19:20.173943Z,2020-02-11T12:19:23.423947Z
W,0x0003,,2020-02-11T12:19:32.299006Z,2020-02-11T12:19:40.923975Z
AC,0x0003,0x002F,2020-02-11T12:19:41.299053Z,2020-02-11T12:19:42.923992Z
W,0x0003,,2020-02-11T12:19:49.299116Z,2020-02-11T12:19:54.174122Z
AC,0x0003,0x003D,2020-02-11T12:19:54.174122Z,2020-02-11T12:20:14.799182Z
W,0x0003,,2020-02-11T12:20:21.799271Z,2020-02-11T12:20:24.174278Z
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,2020-02-11T12:23:34.165655Z,
